"id","name","price","description","image_url","created_at","updated_at"
"1","Cool T-Shirt","20","このTシャツを着れば、あなたのクールさが120%増加することを保証します（効果には個人差があります）。洗濯するとクールさが少し減りますが、乾燥機で取り戻せます。","/images/cool-t-shirt.jpeg","2024-01-15 10:30:00","2025-12-20 14:22:10"
"2","Awesome Mug","15","朝のコーヒーが突然Awesomeに！このマグカップは、あなたの飲み物を最高にする魔法の力を持っています。水を入れても不思議とAwesomeな味がします（気のせいかもしれません）。","/images/awesome-mug.jpeg","2024-02-03 09:15:00","2025-11-18 16:45:30"
"3","Stylish Cap","25","このキャップを被れば、髪型が崩れていても誰も気づきません。スタイリッシュな見た目で、寝坊した朝の救世主。UVカット機能付きで、お肌も守ります（言い訳も守ります）。","/images/stylish-cap.jpeg","2024-01-20 11:00:00","2026-01-05 09:30:00"
"4","Trendy Sneakers","50","最新トレンドを足元から！このスニーカーを履けば、走るのが50%速くなります（当社比）。実際は気分が上がるだけかもしれませんが、それも大事です。","/images/trendy-sneakers.jpeg","2024-03-10 14:20:00","2025-12-28 11:15:45"
"5","Pop T-Shirt","20","ポップでキュートなこのTシャツは、着るだけで周りがハッピーに！洗濯表示を無視すると縮みますが、そのときは「ダイエット成功した」と言い訳できます。","/images/pop-t-shirt.jpeg","2024-02-14 16:00:00","2025-10-22 13:50:20"
"6","Vintage Jeans","60","ヴィンテージ加工が施された本格派ジーンズ。新品なのに使い込んだ感じがするという矛盾を楽しめます。破れているのは「デザインです」と自信を持って言えます。","/images/vintage-jeans.jpeg","2024-01-25 12:45:00","2026-01-12 10:20:15"
"7","Classic Hoodie","45","定番のフーディーは、部屋着としても外出着としても最適。フードを被れば引きこもり感が150%アップ。ポケットには夢とお菓子を詰め込めます。","/images/classic-hoodie.jpeg","2024-02-28 10:30:00","2025-12-05 15:40:00"
"8","Sporty Socks","10","スポーティーな靴下で運動する気分に！実際に運動するかどうかは別問題です。左右で色が違っていても「今日はアシンメトリーが気分」と言えば大丈夫。","/images/sporty-socks.jpeg","2024-03-05 08:00:00","2025-11-30 12:10:35"
"9","Minimalist Backpack","70","ミニマリスト向けのバックパック。荷物を減らすことを強制してくれます（物理的に入らないので）。シンプルなデザインで、中身がぐちゃぐちゃでも外見はスマート。","/images/minimalist-backpack.jpeg","2024-01-30 13:15:00","2026-01-08 14:55:40"
"10","Comfy Sweatpants","35","快適すぎて外に出たくなくなるスウェットパンツ。テレワークの強い味方。ゴム紐が伸びきっても「ゆったりデザインです」と言い張れます。","/images/comfy-sweatpants.jpeg","2024-02-10 15:45:00","2025-12-15 09:25:50"
"11","Wireless Earbuds","80","ワイヤレスイヤホンで自由を手に入れよう！コードが絡まるストレスから解放されますが、片方だけ紛失するという新たなストレスが発生します。バッテリー切れは人生の教訓です。","/images/wireless-earbuds.jpeg","2024-03-15 11:30:00","2026-01-20 16:30:25"
"12","Smart Water Bottle","30","スマートウォーターボトルが水分補給を管理！飲み忘れを通知してくれますが、うるさすぎて通知をオフにする未来が見えます。でも見た目はハイテクでカッコいい。","/images/smart-water-bottle.jpeg","2024-02-20 09:00:00","2025-12-10 11:40:15"
"13","Ergonomic Mouse","25","人間工学に基づいたマウスで手首の負担を軽減！最初の1週間は使いにくくて逆に疲れますが、慣れたら手放せません。普通のマウスが使えなくなるという副作用付き。","/images/ergonomic-mouse.jpeg","2024-03-01 14:00:00","2026-01-15 10:05:30"
